time_of_day,day_of_week,block_type,signal_state,weather,travel_time
morning,weekday,S,none,rainy,45
morning,weekday,M,none,sunny,15
morning,weekday,0,none,sunny,15
night,weekend,0,none,rainy,20
morning,weekday,T,green,rainy,15
night,weekday,M,none,rainy,20
night,weekend,0,none,sunny,20
afternoon,weekend,M,none,rainy,20
evening,weekday,T,green,sunny,10
night,weekday,S,none,rainy,25
afternoon,weekday,T,red,rainy,45
night,weekend,T,red,sunny,40
evening,weekend,S,none,sunny,20
evening,weekend,0,none,sunny,20
afternoon,weekday,0,none,sunny,20
morning,weekend,S,none,sunny,40
night,weekday,M,none,rainy,20
evening,weekend,0,none,rainy,25
morning,weekday,T,green,sunny,10
night,weekend,0,none,rainy,15
night,weekday,M,none,sunny,15
evening,weekday,0,none,sunny,15
night,weekend,M,none,rainy,20
afternoon,weekend,S,none,rainy,25
evening,weekday,S,none,sunny,20
evening,weekday,M,none,sunny,35
morning,weekday,S,none,rainy,45
evening,weekend,0,none,rainy,50
evening,weekday,T,green,rainy,15
evening,weekday,0,none,sunny,15
evening,weekend,T,yellow,sunny,15
evening,weekend,T,yellow,sunny,15
morning,weekend,T,red,rainy,45
evening,weekend,0,none,rainy,50
night,weekend,T,yellow,rainy,20
evening,weekend,M,none,sunny,35
night,weekday,M,none,rainy,20
night,weekday,T,red,sunny,40
morning,weekend,0,none,rainy,45
morning,weekend,0,none,sunny,45
afternoon,weekday,M,none,rainy,20
night,weekday,S,none,rainy,25
evening,weekend,0,none,rainy,30
morning,weekday,0,none,rainy,35
night,weekend,T,yellow,rainy,20
morning,weekday,M,none,rainy,20
morning,weekend,0,none,rainy,25
morning,weekend,0,none,sunny,25
evening,weekday,S,none,sunny,20
evening,weekend,M,none,sunny,35
morning,weekend,M,none,rainy,20
morning,weekday,S,none,rainy,45
morning,weekday,S,none,sunny,40
morning,weekend,0,none,sunny,40
morning,weekday,S,none,sunny,40
evening,weekday,M,none,rainy,40
night,weekend,S,none,sunny,20
evening,weekend,M,none,rainy,40
night,weekend,T,red,sunny,40
morning,weekday,S,none,rainy,45
night,weekday,0,none,rainy,50
afternoon,weekend,S,none,sunny,20
evening,weekend,0,none,sunny,20
evening,weekend,M,none,rainy,40
afternoon,weekday,S,none,sunny,20
afternoon,weekend,M,none,sunny,15
morning,weekday,T,yellow,rainy,20
night,weekday,S,none,sunny,20
afternoon,weekday,T,yellow,rainy,20
morning,weekday,S,none,rainy,45
night,weekend,S,none,sunny,20
morning,weekend,T,green,rainy,15
evening,weekend,T,green,rainy,15
afternoon,weekday,S,none,rainy,25
night,weekday,0,none,rainy,30
afternoon,weekend,0,none,sunny,30
morning,weekend,T,red,rainy,45
night,weekend,0,none,sunny,45
morning,weekday,T,red,sunny,40
afternoon,weekday,0,none,sunny,40
afternoon,weekend,0,none,rainy,45
night,weekday,M,none,sunny,15
afternoon,weekday,T,red,rainy,45
evening,weekend,0,none,rainy,50
evening,weekday,S,none,rainy,25
night,weekday,M,none,rainy,20
night,weekday,S,none,rainy,25
morning,weekend,S,none,rainy,45
afternoon,weekend,T,red,rainy,45
afternoon,weekend,S,none,rainy,25
afternoon,weekday,S,none,sunny,20
evening,weekday,S,none,sunny,20
morning,weekday,M,none,sunny,15
afternoon,weekday,T,green,sunny,10
evening,weekday,T,yellow,sunny,15
evening,weekend,0,none,rainy,20
evening,weekday,0,none,rainy,25
evening,weekday,S,none,rainy,25
night,weekday,T,green,sunny,10
night,weekend,M,none,sunny,15
morning,weekend,S,none,rainy,45
night,weekend,0,none,sunny,45
night,weekday,S,none,rainy,25
morning,weekday,0,none,sunny,25
afternoon,weekend,T,red,sunny,40
night,weekend,T,yellow,rainy,20
night,weekend,S,none,rainy,25
afternoon,weekday,0,none,sunny,25
afternoon,weekday,M,none,rainy,20
morning,weekend,S,none,rainy,45
night,weekday,T,green,sunny,10
evening,weekend,M,none,sunny,35
night,weekday,T,green,rainy,15
afternoon,weekday,0,none,rainy,20
night,weekday,M,none,rainy,20
evening,weekday,0,none,rainy,25
evening,weekend,M,none,sunny,35
morning,weekday,S,none,rainy,45
afternoon,weekend,0,none,rainy,50
night,weekend,S,none,sunny,20
night,weekend,T,yellow,sunny,15
afternoon,weekday,M,none,rainy,20
afternoon,weekend,S,none,rainy,25
morning,weekend,M,none,sunny,15
night,weekday,M,none,rainy,20
evening,weekend,0,none,rainy,25
night,weekend,0,none,rainy,30
evening,weekend,S,none,sunny,20
afternoon,weekday,0,none,sunny,20
evening,weekend,M,none,rainy,40
night,weekend,S,none,rainy,25
morning,weekend,S,none,rainy,45
evening,weekend,S,none,rainy,25
afternoon,weekend,M,none,sunny,15
afternoon,weekend,M,none,rainy,20
night,weekday,S,none,rainy,25
afternoon,weekend,S,none,rainy,25
afternoon,weekend,S,none,rainy,25
afternoon,weekday,T,yellow,sunny,15
morning,weekend,0,none,sunny,15
night,weekday,T,yellow,rainy,20
night,weekend,T,red,sunny,40
evening,weekend,M,none,rainy,40
evening,weekday,M,none,sunny,35
afternoon,weekday,S,none,sunny,20
night,weekday,S,none,sunny,20
evening,weekend,0,none,rainy,25
evening,weekend,T,red,sunny,40
evening,weekday,0,none,rainy,45
afternoon,weekend,S,none,sunny,20
afternoon,weekday,T,green,rainy,15
morning,weekend,M,none,sunny,15
night,weekday,M,none,rainy,20
afternoon,weekday,T,red,sunny,40
afternoon,weekday,S,none,sunny,20
night,weekday,S,none,rainy,25
evening,weekday,T,yellow,rainy,20
afternoon,weekend,T,red,rainy,45
night,weekday,0,none,rainy,50
afternoon,weekday,T,red,sunny,40
night,weekday,T,red,sunny,40
afternoon,weekend,S,none,rainy,25
night,weekday,M,none,rainy,20
evening,weekday,S,none,sunny,20
afternoon,weekday,S,none,rainy,25
night,weekend,S,none,sunny,20
night,weekday,M,none,rainy,20
morning,weekday,0,none,sunny,20
morning,weekday,M,none,sunny,15
night,weekend,0,none,sunny,15
morning,weekend,M,none,rainy,20
evening,weekday,S,none,sunny,20
night,weekday,T,green,sunny,10
morning,weekend,M,none,sunny,15
night,weekend,T,yellow,sunny,15
evening,weekday,M,none,sunny,35
night,weekday,M,none,rainy,20
night,weekend,T,yellow,sunny,15
morning,weekday,S,none,sunny,40
morning,weekday,0,none,rainy,45
night,weekend,T,green,sunny,10
night,weekday,M,none,rainy,20
morning,weekday,T,yellow,rainy,20
afternoon,weekday,0,none,sunny,20
evening,weekend,S,none,rainy,25
afternoon,weekend,M,none,rainy,20
evening,weekday,S,none,rainy,25
evening,weekend,M,none,sunny,35
night,weekday,0,none,sunny,35
morning,weekend,S,none,sunny,40
night,weekday,M,none,rainy,20
evening,weekday,0,none,rainy,25
evening,weekday,0,none,rainy,30
evening,weekday,S,none,sunny,20
afternoon,weekday,M,none,rainy,20
morning,weekend,S,none,sunny,40
night,weekday,M,none,rainy,20
morning,weekday,T,yellow,sunny,15
night,weekend,0,none,sunny,15
afternoon,weekday,M,none,rainy,20
morning,weekday,T,red,rainy,45
afternoon,weekend,0,none,rainy,50
night,weekday,0,none,sunny,50
afternoon,weekend,M,none,rainy,20
morning,weekend,T,yellow,rainy,20
afternoon,weekend,S,none,sunny,20
afternoon,weekend,0,none,rainy,25
morning,weekend,0,none,sunny,25
morning,weekday,T,red,rainy,45
morning,weekday,S,none,sunny,40
evening,weekday,M,none,sunny,35
morning,weekend,0,none,rainy,40
morning,weekend,M,none,rainy,20
evening,weekday,0,none,sunny,20
morning,weekend,0,none,sunny,20
afternoon,weekend,0,none,sunny,20
evening,weekend,0,none,sunny,20
afternoon,weekday,0,none,sunny,20
morning,weekend,M,none,sunny,15
afternoon,weekday,S,none,sunny,20
afternoon,weekday,0,none,rainy,25
night,weekday,T,red,rainy,45
night,weekend,M,none,sunny,15
night,weekend,T,green,sunny,10
night,weekend,S,none,sunny,20
evening,weekday,S,none,sunny,20
morning,weekend,M,none,sunny,15
night,weekday,T,red,rainy,45
afternoon,weekday,S,none,sunny,20
morning,weekend,T,green,rainy,15
evening,weekday,0,none,rainy,20
morning,weekend,M,none,sunny,15
night,weekend,0,none,sunny,15
evening,weekday,S,none,sunny,20
evening,weekend,S,none,rainy,25
morning,weekday,S,none,rainy,45
afternoon,weekend,S,none,sunny,20
morning,weekend,T,yellow,rainy,20
morning,weekend,S,none,sunny,40
evening,weekend,0,none,sunny,40
morning,weekend,M,none,sunny,15
night,weekend,0,none,rainy,20
morning,weekend,0,none,rainy,25
night,weekend,0,none,sunny,25
afternoon,weekend,S,none,rainy,25
afternoon,weekend,S,none,sunny,20
afternoon,weekday,M,none,sunny,15
evening,weekday,M,none,sunny,35
afternoon,weekday,0,none,sunny,35
evening,weekend,0,none,sunny,35
night,weekday,S,none,rainy,25
afternoon,weekday,0,none,sunny,25
night,weekend,0,none,rainy,30
afternoon,weekday,T,green,rainy,15
afternoon,weekend,M,none,rainy,20
morning,weekend,0,none,rainy,25
evening,weekday,T,red,sunny,40
morning,weekday,M,none,sunny,15
night,weekend,0,none,rainy,20
afternoon,weekend,S,none,rainy,25
night,weekend,0,none,rainy,30
morning,weekend,S,none,rainy,45
afternoon,weekend,M,none,rainy,20
night,weekend,S,none,sunny,20
afternoon,weekday,T,yellow,rainy,20
evening,weekend,S,none,sunny,20
night,weekday,0,none,rainy,25
afternoon,weekday,0,none,rainy,30
night,weekend,T,green,sunny,10
night,weekday,0,none,sunny,10
morning,weekday,S,none,rainy,45
night,weekday,0,none,rainy,50
evening,weekend,0,none,rainy,55
evening,weekday,0,none,rainy,60
evening,weekday,S,none,rainy,25
evening,weekday,S,none,sunny,20
afternoon,weekend,S,none,sunny,20
afternoon,weekday,T,green,rainy,15
night,weekend,S,none,rainy,25
morning,weekend,0,none,sunny,25
evening,weekday,M,none,rainy,40
evening,weekday,S,none,sunny,20
night,weekday,S,none,sunny,20
afternoon,weekday,S,none,sunny,20
evening,weekend,T,green,sunny,10
evening,weekend,S,none,rainy,25
morning,weekend,0,none,rainy,30
afternoon,weekend,T,red,rainy,45
morning,weekend,T,green,sunny,10
morning,weekend,S,none,rainy,45
night,weekend,S,none,rainy,25
morning,weekend,M,none,rainy,20
evening,weekday,T,green,sunny,10
afternoon,weekday,S,none,sunny,20
afternoon,weekday,T,green,sunny,10
morning,weekend,0,none,sunny,10
evening,weekend,T,yellow,sunny,15
afternoon,weekend,0,none,rainy,20
night,weekday,0,none,rainy,25
morning,weekday,M,none,rainy,20
evening,weekend,S,none,rainy,25
night,weekday,S,none,sunny,20
morning,weekend,T,yellow,rainy,20
night,weekend,0,none,rainy,25
night,weekend,S,none,rainy,25
evening,weekday,0,none,rainy,30
evening,weekend,M,none,rainy,40
afternoon,weekend,M,none,sunny,15
morning,weekday,0,none,sunny,15
night,weekday,M,none,rainy,20
morning,weekend,S,none,rainy,45
morning,weekday,0,none,sunny,45
evening,weekday,0,none,rainy,50
morning,weekend,T,red,rainy,45
evening,weekday,M,none,rainy,40
evening,weekday,S,none,rainy,25
night,weekday,S,none,sunny,20
afternoon,weekend,0,none,sunny,20
evening,weekday,T,yellow,sunny,15
morning,weekday,0,none,rainy,20
night,weekend,0,none,rainy,25
evening,weekend,0,none,sunny,25
afternoon,weekday,0,none,sunny,25
afternoon,weekend,M,none,sunny,15
afternoon,weekend,0,none,rainy,20
evening,weekday,S,none,rainy,25
afternoon,weekday,S,none,rainy,25
morning,weekend,S,none,sunny,40
morning,weekend,S,none,rainy,45
evening,weekend,M,none,sunny,35
morning,weekday,M,none,rainy,20
evening,weekday,S,none,rainy,25
afternoon,weekday,M,none,rainy,20
afternoon,weekend,0,none,rainy,25
afternoon,weekend,S,none,rainy,25
morning,weekend,T,green,sunny,10
afternoon,weekday,0,none,sunny,10
night,weekend,S,none,sunny,20
morning,weekday,T,yellow,sunny,15
morning,weekday,S,none,rainy,45
night,weekday,M,none,rainy,20
night,weekday,M,none,sunny,15
morning,weekend,T,green,sunny,10
evening,weekend,M,none,rainy,40
night,weekend,0,none,sunny,40
morning,weekday,0,none,rainy,45
afternoon,weekday,0,none,sunny,45
morning,weekend,0,none,rainy,50
morning,weekday,S,none,sunny,40
morning,weekday,M,none,sunny,15
morning,weekday,S,none,rainy,45
evening,weekday,0,none,sunny,45
afternoon,weekend,M,none,sunny,15
morning,weekday,0,none,sunny,15
afternoon,weekend,M,none,sunny,15
evening,weekend,T,red,sunny,40
morning,weekday,M,none,rainy,20
afternoon,weekday,M,none,sunny,15
night,weekend,T,red,sunny,40
afternoon,weekend,M,none,sunny,15
evening,weekday,T,yellow,sunny,15
evening,weekend,M,none,rainy,40
morning,weekday,M,none,rainy,20
afternoon,weekend,T,green,sunny,10
evening,weekend,S,none,rainy,25
night,weekend,M,none,rainy,20
evening,weekend,0,none,sunny,20
afternoon,weekend,T,red,sunny,40
night,weekday,0,none,rainy,45
afternoon,weekday,M,none,sunny,15
evening,weekend,S,none,rainy,25
morning,weekday,0,none,rainy,30
evening,weekday,0,none,sunny,30
morning,weekday,0,none,rainy,35
morning,weekend,S,none,sunny,40
evening,weekday,S,none,sunny,20
night,weekend,T,yellow,rainy,20
night,weekday,S,none,rainy,25
evening,weekend,T,yellow,rainy,20
night,weekend,T,green,rainy,15
afternoon,weekend,S,none,rainy,25
afternoon,weekday,S,none,rainy,25
evening,weekday,M,none,sunny,35
afternoon,weekend,M,none,rainy,20
morning,weekend,0,none,sunny,20
afternoon,weekday,0,none,sunny,20
afternoon,weekday,S,none,sunny,20
evening,weekday,T,green,rainy,15
afternoon,weekday,M,none,sunny,15
afternoon,weekend,S,none,sunny,20
evening,weekday,0,none,sunny,20
morning,weekday,0,none,sunny,20
afternoon,weekend,S,none,rainy,25
afternoon,weekend,0,none,sunny,25
night,weekend,T,yellow,sunny,15
evening,weekend,T,green,sunny,10
night,weekday,S,none,rainy,25
morning,weekend,S,none,sunny,40
morning,weekday,S,none,rainy,45
night,weekend,M,none,sunny,15
morning,weekend,M,none,sunny,15
afternoon,weekday,T,yellow,rainy,20
evening,weekday,0,none,rainy,25
evening,weekday,M,none,sunny,35
afternoon,weekend,T,yellow,rainy,20
morning,weekend,M,none,sunny,15
afternoon,weekend,0,none,sunny,15
afternoon,weekend,0,none,rainy,20
evening,weekend,0,none,sunny,20
night,weekend,M,none,sunny,15
evening,weekend,T,green,rainy,15
afternoon,weekday,0,none,sunny,15
evening,weekday,S,none,rainy,25
afternoon,weekend,M,none,sunny,15
night,weekend,S,none,rainy,25
evening,weekend,T,red,rainy,45
afternoon,weekday,M,none,rainy,20
afternoon,weekday,S,none,rainy,25
night,weekday,T,yellow,sunny,15
night,weekday,M,none,rainy,20
night,weekend,0,none,sunny,20
night,weekday,M,none,rainy,20
afternoon,weekend,S,none,sunny,20
evening,weekend,S,none,sunny,20
afternoon,weekend,S,none,rainy,25
morning,weekend,0,none,rainy,30
evening,weekday,S,none,rainy,25
night,weekday,S,none,sunny,20
night,weekday,M,none,sunny,15
afternoon,weekday,M,none,sunny,15
afternoon,weekend,M,none,rainy,20
evening,weekend,M,none,rainy,40
evening,weekend,0,none,rainy,45
afternoon,weekend,M,none,sunny,15
morning,weekday,0,none,sunny,15
afternoon,weekend,S,none,sunny,20
morning,weekday,S,none,sunny,40
night,weekday,0,none,sunny,40
morning,weekend,S,none,sunny,40
morning,weekend,S,none,rainy,45
evening,weekday,0,none,rainy,50
evening,weekend,0,none,sunny,50
morning,weekday,M,none,sunny,15
evening,weekday,M,none,sunny,35
evening,weekday,T,yellow,sunny,15
evening,weekend,M,none,sunny,35
evening,weekend,M,none,rainy,40
night,weekend,0,none,sunny,40
afternoon,weekday,T,yellow,rainy,20
afternoon,weekend,S,none,rainy,25
morning,weekday,S,none,rainy,45
night,weekday,0,none,rainy,50
afternoon,weekday,0,none,rainy,55
night,weekend,0,none,rainy,60
morning,weekday,S,none,rainy,45
evening,weekday,0,none,sunny,45
morning,weekday,M,none,sunny,15
evening,weekday,T,yellow,rainy,20
evening,weekend,M,none,sunny,35
night,weekday,M,none,sunny,15
night,weekday,T,green,rainy,15
evening,weekend,0,none,rainy,20
night,weekend,M,none,rainy,20
afternoon,weekend,M,none,sunny,15
evening,weekday,M,none,rainy,40
afternoon,weekday,S,none,sunny,20
night,weekday,T,green,sunny,10
morning,weekend,M,none,sunny,15
night,weekend,S,none,rainy,25
afternoon,weekday,M,none,rainy,20
evening,weekday,S,none,rainy,25
evening,weekend,0,none,rainy,30
morning,weekend,0,none,sunny,30
morning,weekday,S,none,rainy,45
evening,weekday,M,none,sunny,35
evening,weekday,T,green,rainy,15
evening,weekend,M,none,sunny,35
night,weekend,0,none,sunny,35
morning,weekend,T,green,sunny,10
night,weekend,M,none,rainy,20
morning,weekend,M,none,rainy,20
afternoon,weekday,M,none,rainy,20
evening,weekend,T,yellow,sunny,15
evening,weekday,T,red,sunny,40
morning,weekend,T,green,sunny,10
evening,weekend,0,none,rainy,15
morning,weekend,0,none,rainy,20
morning,weekend,T,red,rainy,45
afternoon,weekday,T,yellow,rainy,20
morning,weekday,T,green,rainy,15
afternoon,weekend,T,red,rainy,45
evening,weekday,M,none,rainy,40
night,weekday,0,none,sunny,40
night,weekday,M,none,sunny,15
evening,weekday,M,none,sunny,35
morning,weekend,T,green,sunny,10
afternoon,weekday,M,none,rainy,20
afternoon,weekday,M,none,sunny,15
afternoon,weekday,S,none,sunny,20
afternoon,weekday,S,none,rainy,25
morning,weekday,S,none,sunny,40
